Name_of_Church,Address,City,State,Zip,Phone,Pasors,Email,Web,ONA,Accessible,Fax,Latitude,Logitude,Distance,_type
Memorial Congregational UCC ,1845 Wantagh Ave ,Wantagh ,NY,11793-3909,516-785-1829,Ronald K. Garner ,wmcc1845@verizon.net,http://www.wmcc1845.com,Y,Y,516-785-1829,40.675969,-73.50999,28.5,UccscraperItem
Community UCC ,700 Prospect Ave ,Westbury ,NY,11590-3608,516-334-5937,,,null,N,Y,null,40.761273,-73.57427,28.7,UccscraperItem
Mount Vernon Heights Cong ,258 S Columbus Ave ,Mount Vernon ,NY,10553-1512,914-668-7987,,,null,N,N,null,40.907833,-73.821849,29.7,UccscraperItem
Malayalam Congregation of Greater New York ,3833 Jerusalem Ave ,Seaford ,NY,11783,null,,,null,N,N,null,40.691028,-73.491666,29.8,UccscraperItem
Community Church At the Circle UCC ,7 E Lincoln Ave ,Mount Vernon ,NY,10552-3207,914-668-8989,Wendell E. Baisden ,commchurchcircle@netzero.com,null,N,Y,null,40.917544,-73.837318,30,UccscraperItem
Community Church of the Pelhams UCC ,448 Washington Ave ,Pelham ,NY,10803-1747,914-738-1513,Noel D. Vanek ,ccpuccchurch@aol.com,http://www.communitychurchofpelham.org,N,Y,914-738-1907,40.909779,-73.805794,30.1,UccscraperItem
West Center Congregational UCC ,101 Pondfield Rd W ,Bronxville ,NY,10708-2100,914-337-3829,John Marshall Barrett ,westcenterucc@verizon.net,http://www.westcenterchurch.org,Y,Y,914-337-3829,40.944944,-73.843545,31.8,UccscraperItem
The Community Church of Syosset UCC ,36 Church St ,Syosset ,NY,11791-2605,516-921-2240,Robert W. Gunn ,scc-ucc1@juno.com,http://www.uccsyosset.org,Y,Y,516-677-0437,40.828878,-73.502421,34.6,UccscraperItem
Congregational Church UCC ,1 Heathcote Rd ,Scarsdale ,NY,10583-4413,914-723-2111,Frances Wise Grenley ,sccoffice@verizon.net,http://scc-ucc.org,Y,Y,914-723-3684,40.989053,-73.796433,35.4,UccscraperItem
First Congregational UCC ,131 Pascack Rd ,Park Ridge ,NJ,07656-1124,201-391-5800,Mark J. Suriano ,,http://www.congregationalchurch.net,Y,Y,201-307-5988,41.03604,-74.04168,37.1,UccscraperItem
Church in the Highlands UCC ,35 Bryant Ave ,White Plains ,NY,10605-1638,914-949-2023,,info@churchinhighlands.org,http://www.churchinhighlands.org,N,Y,914-686-2816,41.018878,-73.765709,37.9,UccscraperItem
Ridgeview Congregational UCC ,12 Ridgeview Ave ,White Plains ,NY,10606-2812,914-949-0334,,ridgeucc@aol.com,,N,Y,914-949-0334,41.023188,-73.778998,37.9,UccscraperItem
Chatterton Hill UCC ,85 Chatterton Ave ,White Plains ,NY,10606-1300,914-946-4124,Bonnie J. Miller ,Bonni333@aol.com,http://chattertonhillchurch.com,N,Y,null,41.033227,-73.781833,38.5,UccscraperItem
Grace United Church of Christ ,85 Chatterton Ave ,White Plains ,NY,10606-1300,718-584-6459,Insook C. Oakes ,,null,N,N,null,41.0333,-73.781417,38.5,UccscraperItem
The Congregational Church of Huntington UCC ,30 Washington Dr ,Centerport ,NY,11721-1816,631-423-4004,Mark J. Bigelow ,pastor@lichurch.org,http://www.lichurch.org,Y,Y,631-423-0526,40.884109,-73.388194,41.7,UccscraperItem
"Second Congregational Church, UCC ",139 E Putnam Ave ,Greenwich ,CT,06830-5612,203-869-9311,R. Maxwell Grant ,info@2cc.org,http://www.2cc.org,N,Y,203-862-8624,41.03472,-73.6233,41.9,UccscraperItem
United Church of Spring Valley ,11 E Church St ,Spring Valley ,NY,10977-5003,845-356-2863,,unichurch@aol.com,http://www.unitedchurchofspringvalley.org,Y,Y,null,41.113221,-74.044306,42.4,UccscraperItem
Sayville Congregational UCC ,131 Middle Rd ,Sayville ,NY,11782-3158,631-589-1519,James Gary Brinn Jr ,churchadmin@sayvilleucc.org,http://www.sayvilleucc.org,Y,Y,631-589-1101,40.73516,-73.080913,27.4,UccscraperItem
Congregational United Church of Christ of Farmingville,335 Horseblock Rd ,Farmingville ,NY,11738-1212,631-732-6379,Prabhu Sigamani,cuccf@optimum.net,http://friendlychurchli.wordpress.com/,N,Y,-,40.836254,-73.050057,33.1,UccscraperItem
The First Congregational Church of Greenwich,108 Sound Beach Ave ,Old Greenwich ,CT,06870-1519,203-637-1791,Richard S. Denuyl Jr ,steves@fccog.org,http://www.fccog.org,Y,Y,203-637-1540,41.037004,-73.569521,37.2,UccscraperItem
Middle Island United Church of Christ ,271 Middle Country Rd ,Middle Island ,NY,11953-2509,631-924-6201,,council@middleislandunitedchurchofchrist.org,http://www.middleislandunitedchurchofchrist.org,N,Y,-,40.877571,-72.968064,38.2,UccscraperItem
The First Congregational Church of Stamford,1 Walton Pl ,Stamford ,CT,06901-1598,203-323-0200,,fccstamford@gmail.com,http://www.fccstamford.org,Y,Y,203-348-2270,41.05765,-73.53825,38.5,UccscraperItem
Union Memorial UCC ,58 Church St ,Stamford ,CT,06906-1796,203-324-6715,Blaine A. Edele ,unionmemorialchurch@gmail.com,http://www.unionmemorialchurch.com/,N,Y,203-324-6716,41.07048,-73.52112,39.4,UccscraperItem
United Church of Rowayton ,210 Rowayton Ave ,Rowayton ,CT,06853-1225,203-866-1415,John S. Livingston ,kris@ucrowayton.org,http://www.ucrowayton.org,Y,Y,203-838-2067,41.07141,-73.445344,39.5,UccscraperItem
The First Congregational Church of Darien UCC ,14 Brookside Rd ,Darien ,CT,06820-4711,203-655-0491,Dale Brian Rosenberger ,Info@uccdarien.org,http://www.uccdarien.org,N,Y,203-655-7620,41.08092,-73.46466,40.1,UccscraperItem
Mt. Sinai Congregational Church UCC ,233 N Country Rd ,Mount Sinai ,NY,11766-1510,631-473-1582,,mscc1@optonline.net,http://www.mtsinaichurchli.org,Y,Y,(631)474-0556,40.952429,-73.018401,40.2,UccscraperItem
Calvin Reformed Church of Norwalk,19 Lexington Ave ,South Norwalk ,CT,06854-4310,203-838-6769,Rev. John P. Cardamone,,,N,N,-,41.091831,-73.423519,41,UccscraperItem
Miracle Temple Church of God in Christ of Norwalk Inc ,2 Trinity Place ,Norwalk ,CT,06854-2114,203-853-2744,Jacob Kelly,mtcnwlkct@aol.com,http://www.miracletemplectcogic.org/,N,Y,203-853-0131,41.099925,-73.422512,41.6,UccscraperItem
North Greenwich Congregational Church UCC,606 Riversville Rd ,North Greenwich ,CT,06831-2526,203-869-7763,Royal Burnham Garren ,kiscocats@aol.com,http://www.northgreenwichchurch.org,N,N,203-869-6586,41.08962,-73.69206,41.9,UccscraperItem
United Congregational Church of Norwalk,275 Richards Ave ,Norwalk ,CT,06850-2715,203-838-8858,Holly Adams ,revholly@uccnorwalk.com,http://www.uccnorwalk.com/,Y,N,-,41.11296,-73.4535,42.4,UccscraperItem
"First Congregational Church, UCC ",3 Lewis St ,Norwalk ,CT,06851-4704,203-847-9551,Frank Newsome,fcthegreen@snet.net,http://www.fccnorwalkonthegreen.com,Y,Y,203-849-7718,41.118713,-73.409481,43,UccscraperItem
Baiting Hollow Congregational UCC ,2416 Sound Ave ,Calverton ,NY,11933-1221,631-727-6141,Emerson Stanley Knavel ,bhcc1@optonline.net,http://www.baitinghollowchurch.com,N,Y,,40.93446,-72.76914,32.3,UccscraperItem
Congregational UCC ,2057 N Country Rd ,Wading River ,NY,11792-1631,631-929-8849,Thomas Turner,office@wrcongchurch.org,http://www.wrcongchurch.org,N,N,631-532-1350,40.953565,-72.833861,32.5,UccscraperItem
First Congregational Church ,103 First St ,Riverhead ,NY,11901-4650,631-727-2621,Sean B. Murray ,firstcong@aol.com,null,Y,Y,631-369-3432,40.917762,-72.661372,33.9,UccscraperItem
Old Steeple Community Church UCC ,656 Main Rd ,Aquebogue ,NY,11931-0154,(631)722-3070,Arlen Vernava,oldsteeple@optonline.net,,N,Y,631-779-3385,40.93824,-72.621288,36.2,UccscraperItem
First Parish Church UCC ,5627 Sound Ave ,Riverhead,NY,11901-5629,631-608-3827,,blackswan57@aol.com,null,Y,Y,631-608-3827,40.977986,-72.606099,38.9,UccscraperItem
Surprise Valley Community Church UCC ,405 Bonner St ,Cedarville ,CA,96104,530-279-6225,Ben Zandstra  ,surprisechurch@frontiernet.net,,N,N,-,41.527791,-120.172481,40.2,UccscraperItem
Japanese Christian Church UCC ,580  23rd St ,Ogden ,UT,84401-1540,801-392-4833,Brad Kramer,,null,N,N,null,41.224934,-111.964682,31.9,UccscraperItem
Congregational UCC ,3350 Harrison Blvd ,Ogden ,UT,84403-1229,801-392-5012,Gage Robert Church ,ogdenucc@gmail.com,http://www.ogdenucc.org,Y,Y,801-392-5012,41.20278,-111.94776,32,UccscraperItem
Union Congregational UCC ,350 Mansface St ,Green River ,WY,82935-4904,307-875-3323,Jenny L. Boteler,mansfacechurch@sweetwaterhsa.com,,N,Y,,41.517024,-109.475051,35.7,UccscraperItem
First Congregational UCC ,1275 Adams Ave ,Rock Springs ,WY,82901-7449,307-362-3530,Kay Grice ,churchfirstrock@gmail.com,http://www.firstrockucc.org,Y,Y,307-382-2405,41.576,-109.2072,42.6,UccscraperItem
Saint Paul's UCC ,602 Garfield St ,Laramie ,WY,82070-3833,307-742-7733,Kenneth E. Ingram,stpucc@gmail.com,http://www.ucclaramie.org,Y,Y,,41.309805,-105.589395,30.3,UccscraperItem
First Congregational UCC ,302 N Spruce St ,Ogallala ,NE,69153-2518,(308)284-3601,Lisa Anne Hadler ,pastorucc@allophone.com,http://www.uccbop.com,N,Y,,41.126997,-101.719538,41.7,UccscraperItem
Saint Luke's UCC ,1072  21st Ave ,Columbus ,NE,68601-5830,(402)564-8862,,uccsaintlukes@gmail.com,http://www.saintlukescolumbus.org,N,Y,,41.426688,-97.353171,30.4,UccscraperItem
Federated Church ,2704 15th St ,Columbus ,NE,68601-4935,(402)564-2812,Annika Lister-Stroope,fcstaff@federatedcolumbus.org,http://www.federatedcolumbus.org,N,Y,(402)564-2813,41.431297,-97.361256,30.6,UccscraperItem
Saint Peter's UCC ,608 4th Street,Yutan ,NE,68073-3084,(402)625-2228,,pastorrandy74@outlook.com,,N,Y,,41.243414,-96.399741,35.5,UccscraperItem
First Congregational UCC ,1550 N Broad St ,Fremont ,NE,68025-3415,(402)721-6818,David Paul,secretaryucc@aol.com,http://www.fremontucc.org,N,Y,(402)721-6815,41.443861,-96.497753,40.3,UccscraperItem
United Church of Christ ,7638 Maywood St ,Ralston ,NE,68127-3921,(402)331-6067,Lynette Janssen ,secretary@ralstonuccne.com,http://www.ralstonuccne.com,N,Y,(402)593-8046,41.203221,-96.030854,28.2,UccscraperItem
Countryside Community Church UCC ,8787 Pacific St ,Omaha ,NE,68114-5231,(402)391-0350,Eric E. Elnes ,office@countrysideucc.org,http://www.countrysideucc.org,Y,Y,(402)391-8739,41.24878,-96.048746,29.1,UccscraperItem
Northwest Hills Church UCC ,9334 Fort St ,Omaha ,NE,68134-1743,(402)572-8392,Ken Evitts ,rachel@northwesthills.com,http://www.northwesthills.com,N,Y,(402)572-8394,41.306707,-96.058896,31.3,UccscraperItem
Arlington Community Church UCC ,355 N 4th St,Arlington ,NE,68002-4019,(402)478-4447,David Paul,acchurch@abbnebraska.com,http://www.arlingtoncommchurch.webs.com,N,Y,(402)478-5161,41.453142,-96.3524,32.2,UccscraperItem
First Central Congregational Church UCC ,421 S 36th St ,Omaha ,NE,68131-3855,(402)345-1533,Scott Jones ,sara@firstcentral.org,http://www.firstcentral.org,Y,Y,(402)345-6212,41.256539,-95.966111,33,UccscraperItem
First Congregational UCC ,611 First Ave ,Council Bluffs ,IA,51501-4231,712-322-5324,James E. Goodenberger,cbfirstcong@gmail.com,,Y,Y,,41.259809,-95.852271,38.3,UccscraperItem
First Congregational UCC ,302 Oakland Ave ,Oakland ,IA,51560-4078,712-482-6828,Charles A. Pleak ,oakucc@frontier.com,,N,Y,-,41.264316,-95.849013,38.6,UccscraperItem
Saint John's UCC ,400 Cloverdale Dr ,Council Bluffs ,IA,51503-5321,712-322-2384,Anthony D. Portero Paff ,tonyporteropaff@msn.com,http://www.cbstjohnsucc.org/church-council,N,Y,,41.25253,-95.796039,40.7,UccscraperItem
Congregational UCC ,353 S 16th St ,Blair ,NE,68008-2011,(402)426-2785,Shirley A. Schmidt ,uccblaircong@abbnebraska.com,http://www.blaircongregationalucc.org,N,Y,,41.541245,-96.136176,41.9,UccscraperItem
Wheeler Grove UCC ,RR 1 ,Carson ,IA,51525,712-486-2201,,,,N,Y,,41.232499,-95.425899,34,UccscraperItem
The Minden United Church of Christ ,106 Lincoln St ,Minden ,IA,51553,712-483-2903,Brian J. Wohlhuter ,mindenucc@walnutel.net,http://www.mindenucc.com,N,Y,712-483-2903,41.46395,-95.545508,39.8,UccscraperItem
Saint John's UCC ,62988 Upland Rd ,Griswold ,IA,51535-6517,712-778-4485,Clairnel B. Nervik ,stjohnsgriswold@gmail.com,,N,Y,-,41.234945,-95.143935,24.7,UccscraperItem
United Congregational Methodist Church UCC ,401 First St ,Lewis ,IA,51544-5600,712-769-2549,,ucmclewis@yahoo.com,http://www.facebook.com/pages/United-Congregational-Methodist-Church-of-Lewis/542266015786581,N,Y,,41.306283,-95.083391,30.3,UccscraperItem
Peace United Church of Christ ,404 North St ,Walnut ,IA,51577,712-784-3546,Steven Lewis,peaceucc@walnutel.net,,N,Y,,41.483697,-95.231365,36.2,UccscraperItem
United Church of Christ ,1607 Hazel St ,Atlantic ,IA,50022-2631,712-243-4846,Nancy L. Jensen ,uccatlantic2@gmail.com,http://www.uccatlantic.org,N,Y,,41.394824,-95.004123,37.6,UccscraperItem
Saint Peter's UCC ,70979 750th St ,Massena ,IA,50853,712-779-2057,James L. Hansen ,,,N,N,-,41.201978,-94.75761,41.2,UccscraperItem
Congregational UCC ,501 Locust St ,Anita ,IA,50020-1041,712-789-0367,Sharon S Guffey-Lewis ,sguffeylewis@gmail.com,null,N,Y,null,41.44841,-94.765643,33.3,UccscraperItem
Congregational Christian UCC ,155 E Garfield ,Truro ,IA,50257,641-765-4524,Kenneth E. Briggs Jr ,truroucc@netins.net,http://trurounitedchurchofchrist.com/,N,Y,,41.20895,-93.845699,37.1,UccscraperItem
Crossroads United Church of Christ ,Smith Chapel On Simpson College ,Indianola ,IA,50125,515-961-9370,Julia T. Rendon ,pastor@crossroadsucc.org,http://www.crossroadsucc.org,Y,Y,,41.363263,-93.562074,33.9,UccscraperItem
Plymouth Congregational UCC ,4126 Ingersoll Ave ,Des Moines ,IA,50312-2713,515-255-3149,Matthew J. Mardis-LeCroy ,pwilkerson@plymouthchurch.com,http://www.plymouthchurch.com,Y,Y,515-255-8667,41.58631,-93.672966,41.4,UccscraperItem
St. Paul Congregational UCC ,501 High Ave E ,Oskaloosa ,IA,52577-2912,641-673-7206,Elizabeth C. Colton ,stpaul@mahaska.org,http://www.stpaulcongregationalucc.org,Y,Y,641-673-9861,41.295389,-92.64024,27.7,UccscraperItem
United Church of Christ ,102 W 2nd Ave ,Olds ,IA,52647,(319)392-4040,Carl D. Vass & Elaine C. Vass,carlandelaine@danvilletelco.net,,N,Y,,41.13279,-91.545615,25.4,UccscraperItem
Grace United Church of Christ ,303 N Washington St,Conesville,IA,52739,319-339-4793,Richard L. Crooks ,rlcrooks@hotmail.com,,N,Y,,41.3789,-91.3557,42.6,UccscraperItem
Faith United Church of Christ ,3307 Mulberry Ave ,Muscatine ,IA,52761-2322,563-263-5979,Ryan Downing,faithucc@machlink.com,http://www.faithuccmuscatine.com,N,Y,563-263-0305,41.44404,-91.069774,38,UccscraperItem
Grace United Church of Christ ,111 W Fifth St ,Wilton ,IA,52778-7811,563-732-2678,Patrick R. Slessor,graceucc@netwtc.net,http://www.graceuccwilton.org/,N,Y,,41.589993,-91.016808,40.7,UccscraperItem
Church of Peace United Church of Christ ,1114 Twelfth St ,Rock Island ,IL,61201-2417,309-788-6357,Mariah Marlin-Warfield ,office@churchofpeaceucc.org,http://www.churchofpeaceucc.org,N,Y,309-788-6358,41.49984,-90.58074,40.8,UccscraperItem
Hope United Church of Christ ,3324 41st St ,Moline ,IL,61265-7830,309-762-1419,Katherine L. Harding ,hopeucc@juno.com,http://www.hopeuccmoline.org,N,Y,309-762-4119,41.479898,-90.478018,42.8,UccscraperItem
Saint Peter's Evangelical UCC ,119 S Grove St ,Kewanee ,IL,61443-2021,309-853-2216,Robert M. Sherman ,stpetersevangelical@frontier.com,http://www.stpeterskewanee.org,N,Y,null,41.243244,-89.933591,34,UccscraperItem
Union Congregational UCC ,1811 53rd St ,Moline ,IL,61265-3649,309-797-4553,Lisa,unionuccmoline@att.net,http://www.unionuccmoline.org,N,Y,null,41.49702,-90.4656,34.3,UccscraperItem
First Congregational UCC ,2201 Seventh Ave ,Moline ,IL,61265-1436,309-762-0787,,fccmoline@fccmoline.org,http://www.fccmoline.org,N,Y,309-762-3496,41.507705,-90.50583,35,UccscraperItem
First Congregational UCC ,101 W Pearl St ,Geneseo ,IL,61254-1527,309-944-3389,Bruce R. Bergthold ,firstucc@geneseo.net,http://www.fccgeneseo.org,N,Y,309-944-5225,41.449241,-90.155447,35.8,UccscraperItem
The Table,3120 Grand Ave,Davenport,IA,52803-1322,,Robert Lloyd Leveridge ,,,N,N,,41.5379,-90.5618,37.3,UccscraperItem
Edwards Congregational UCC ,3420 Jersey Ridge Rd ,Davenport ,IA,52807-2222,563-359-0331,Christine H. Isham,info@edwards-ucc.org,http://www.edwards-ucc.org,Y,Y,563-359-8221,41.554476,-90.541846,38.3,UccscraperItem
Faith United Church of Christ ,1630 W 38th St ,Davenport ,IA,52806-5513,563-391-5726,Heidi Y. Hulme ,office@faithuccdavenport.org,http://www.faithuccdavenport.org,N,Y,,41.558152,-90.59833,38.9,UccscraperItem
First United Church of Christ ,201 E Chestnut St ,Sheffield ,IL,61361-9106,815-454-2786,Jane E. Courtright ,firstuccsheffield@hotmail.com,null,N,Y,815-454-2786,41.354009,-89.73575,28,UccscraperItem
Open Prairie UCC ,25 E Marion St ,Princeton ,IL,61356-2008,815-872-5150,Mary G. McKinney ,mail@openprairie.org,http://www.openprairie.org,Y,Y,815-872-5160,41.368176,-89.468752,37.6,UccscraperItem
Hollowayville United Church of Christ ,114 E Peru St ,Hollowayville ,IL,61356-2149,815-894-2739,Michael Slutz ,,,N,Y,-,41.332658,-89.323361,42.1,UccscraperItem
First Congregational UCC ,116 W Third St ,De Pue ,IL,61322,815-447-2360,,,null,N,Y,null,41.362304,-89.332252,42.9,UccscraperItem
Congregational UCC ,103 N Church St ,Granville ,IL,61326,815-339-2305,Ron McNeill ,granucc@mchsi.com,null,N,Y,null,41.262867,-89.226026,23.1,UccscraperItem
United Church of Christ (Congregational) ,227 E Erie St ,Spring Valley ,IL,61362-2137,815-663-1951,Chuck Maney ,springvalleyucc@yahoo.com,http://www.springvalleyucc.org/,N,Y,,41.32584,-89.19756,27.5,UccscraperItem
Zion United Church of Christ ,1521 Sixth St ,Peru ,IL,61354-2719,815-223-2671,,office@zionperu.org,http://www.zionperu.org,N,Y,815-223-2992,41.32932,-89.12616,29.9,UccscraperItem
Trinity UCC ,829 Fourth St ,La Salle ,IL,61301-2143,815-223-8513,Betty Delgado ,,null,N,Y,null,41.33172,-89.094,31.2,UccscraperItem
First Congregational UCC ,212 S Main St ,Cherry ,IL,61317-,815-447-2360,,,,N,Y,-,41.42848,-89.214184,33.1,UccscraperItem
First Congregational UCC ,910 Columbus St ,Ottawa ,IL,61350-2117,815-433-0771,Kimberly A Wood ,ottawaucc@sbcglobal.net,http://www.uccottawa.org,Y,Y,,41.34948,-88.83954,42,UccscraperItem
First Congregational UCC ,255 E Bluff St ,Marseilles ,IL,61341-1506,815-795-5336,James A. Brown ,,null,N,Y,null,41.32938,-88.70508,27.4,UccscraperItem
Park Street Congregational UCC ,806 Park St ,Mazon ,IL,60444-0266,815-448-5514,Tyler Carell,parkstcb@att.net,http://www.myparkstreetchurch.com,N,Y,815-448-5776,41.23794,-88.39356,35.6,UccscraperItem
Saint John UCC ,1045 W River St ,Kankakee ,IL,60901-3439,815-932-3336,Barbara A. Lohrbach ,stjohnkan@gmail.com,http://www.stjohnucc-kan-il.org,Y,Y,815-929-5706,41.11998,-87.86112,34.4,UccscraperItem
Saint Paul's UCC ,140 S Thelma St ,Manhattan ,IL,60442-9384,815-478-4900,Carol Currier-Frighetto ,manhattanucc@aol.com,http://www.manhattanunitedchurchofchrist.org,N,N,815-478-4902,41.4246,-87.98016,39.9,UccscraperItem
Saint Peter's UCC ,310 N Meadow St ,Grant Park ,IL,60940,815-465-6191,,stpetersgp@sbcglobal.net,null,N,N,815-465-6223,41.23818,-87.64794,24.7,UccscraperItem
Immanuel UCC ,311 W Corning Ave ,Peotone ,IL,60468-8933,708-258-6966,Dwight Gorbold,peoimmanuel@aol.com,null,N,Y,708-258-9163,41.3322,-87.79398,25.3,UccscraperItem
Saint Luke UCC ,725 Penfield ,Beecher ,IL,60401,708-946-6688,Thomas A. Ewing Jr ,churchoffice@stlukeucc.com,http://www.stlukeucc.com/,N,Y,708-946-0992,41.342607,-87.628454,30.6,UccscraperItem
Saint John UCC ,536 E Corning Rd ,Beecher ,IL,60401-3072,708-946-6214,Susan J. Lock ,revslock@yahoo.com,http://www.stjohnuccbeecher.org,N,Y,-,41.326483,-87.597941,30.8,UccscraperItem
St. Paul's UCC of Monee,5323 W Margaret St ,Monee ,IL,60449,708-534-8471,Peggy Ann Johnson ,pastorpeggy@stpaulsmonee.org,http://www.stpaulsmonee.org,N,Y,708-534-8491,41.4124,-87.76686,30.9,UccscraperItem
Saint John's UCC ,27942 S 88th Ave ,Peotone ,IL,60468-9513,708-534-0653,Patricia Morton ,baker_laurel@hotmail.com,null,N,Y,708-258-9139,41.41956,-87.75228,31.7,UccscraperItem
All About Jesus United Church of Christ (Ministries),5323 W. Margaret St.,Monee,IL,60449-8071,(708)946-6632,Paula R. Comper,gotuccdogs@aol.com,,Y,Y,,41.417345,-87.740937,31.8,UccscraperItem
Saint Peter's UCC ,12 W Sauk Trail ,Frankfort ,IL,60423-1535,815-469-2220,Mark M. Milligan ,stpetersfrankfort@ameritech.net,http:// www.stpetersfrankfort.com,N,Y,815-469-2875,41.495732,-87.848461,35.1,UccscraperItem
Pilgrimage Protestant Congregational UCC ,1100 University Pkwy ,University Park ,IL,60466,708-534-0030,J. Jamison ,,null,N,Y,708-534-9037,41.445,-87.66582,35.3,UccscraperItem
Faith United Protestant UCC ,10 Hemlock St ,Park Forest ,IL,60466-2116,708-747-1330,Michael Sykes ,faith@faithchurchpf.org,http://www.faithchurchpf.org,N,Y,708-747-1757,41.48034,-87.67656,37.2,UccscraperItem
Saint John's UCC ,11100 Second St ,Mokena ,IL,60448-1512,708-479-5123,Timothy C. Rhodes ,office@stjohnsmokena.org,http://www.stjohnsmokena.org,N,Y,708-479-1119,41.532805,-87.887304,37.2,UccscraperItem
First United Church of Christ ,620 Williamson Ave ,Joliet ,IL,60432-1271,815-436-1392,Rosa Frias ,,null,N,N,null,41.542491,-88.066018,37.6,UccscraperItem
Saint John's Faith Church UCC ,21302 Maple St ,Matteson ,IL,60443-2588,708-748-0885,Terry E. Krouskoupf ,stjohnsfaithucc@att.com,http://stjohnsfaithucc.org,N,Y,708-748-8570,41.5023,-87.70728,37.9,UccscraperItem
Zion United Church of Christ Inc ,14804 W 113th Ave ,Dyer ,IN,46311-3511,219-365-5288,Clifford G. DiMascio ,ZionUnitedChurch@comcast.net,http://www.dyerzionucc.org,N,Y,,41.4138,-87.51258,38.2,UccscraperItem
First Congregational Church of Lockport UCC ,700 E Ninth St ,Lockport ,IL,60441-3612,815-838-2091,Eric D. Quinney-Burnard ,linda@lockportucc.org,http://www.lockportucc.org,N,Y,815-838-6541,41.587491,-88.048315,40.6,UccscraperItem
Grace United Church of Christ,2500 E. 223rd St.,Sauk Village,IL,60411,(708)758-6700,Melody L Seaton ,mel28crim@aol.com,,N,Y,,41.484544,-87.555711,40.7,UccscraperItem
Saint Mark UCC ,312 Chicago Rd ,Chicago Heights ,IL,60411-1081,708-754-2266,Cheryl E. Roberts ,stmark_ucc@yahoo.com,null,N,Y,null,41.534294,-87.647486,41.2,UccscraperItem
God Can Ministries United Church of Christ ,1100 Greenwood Avenue,Ford Heights ,IL,60411-2776,708-757-5550,Anthony Sullivan,rev.anthony.sullivan@gmail.com,,Y,N,-,41.511682,-87.589721,41.3,UccscraperItem
Plainfield Congregational Church UCC ,24020 W Fraser Rd ,Plainfield ,IL,60586-9272,815-436-9441,Thomas J. Parrott-Sheffer ,sharon.kuzel@plainfielducc.org,http://www.plainfielducc.org,Y,Y,815-436-0289,41.58665,-88.201612,41.8,UccscraperItem
Saint Paul Community Church ,18200 Dixie Hwy ,Homewood ,IL,60430-2219,708-798-0700,Frank R. Rodgers ,stpaulcc@ameritech.net,http://www.stpaulcc.info,N,Y,null,41.559056,-87.665479,42.3,UccscraperItem
Saint John's UCC ,1288 South Indiana Ave ,Crown Point ,IN,46307-9104,219-663-1608,Wendell Thacker,cpucc100@juno.com,http://www.stjohnucccrownpoint.org,N,Y,219-663-1642,41.4159,-87.35478,29.7,UccscraperItem
Peace United Church of Christ ,1001 W 73rd Ave ,Merrillville ,IN,46410-3815,219-769-4585,Joan H. Mier ,,,N,Y,219-769-4585,41.485528,-87.349073,34.4,UccscraperItem
Immanuel UCC ,2201 Azalea Dr ,Highland ,IN,46322-2499,219-924-2100,Paula R. Comper,highland.christ@sbcglobal.net,http://www.immanuel-ucc.com,Y,Y,,41.54154,-87.47502,37.4,UccscraperItem
Faith United Church of Christ ,3030 175th St ,Hammond ,IN,46323-2776,219-845-2288,Sky Allen,,null,N,Y,219-845-5688,41.57718,-87.456,39.9,UccscraperItem
Trinity United Church of Christ ,1276 W 20th Ave ,Gary ,IN,46407,219-944-0500,John Edward Jackson ,RevJJackson@tucc.org,http://www.tuccgary.org,N,Y,219-944-0505,41.569639,-87.343615,40.1,UccscraperItem
Union Community UCC ,602 Monroe St ,Valparaiso ,IN,46383-3632,219-464-3197,,uccspirit@yahoo.com,http://www.unioncommunitychurchucc.com,N,Y,,41.479417,-87.05597,40.4,UccscraperItem
Covenant United Church of Christ ,1130 E 154th St ,South Holland ,IL,60473-1110,708-333-5955,Ozzie E Smith Jr ,info@covucc.org ,http://www.covucc.org,N,Y,708-333-4220,41.615289,-87.589432,42.7,UccscraperItem
Salem United Church of Christ ,302 S Main St ,Wanatah ,IN,46390,219-733-2639,Victoria S. Ubben ,salem.ucc@fronteir.com,null,N,Y,219-733-9654,41.427496,-86.898581,43,UccscraperItem
Grace United Church of Christ ,307 N. Plymouth St ,Culver ,IN,46511-1529,(574)842-2331,,graceculverucc@gmail.com,http://www.culvergraceucc.org,N,Y,,41.21838,-86.42262,33.7,UccscraperItem
Saint John's United Church ,225 W Lincoln Ave ,Chesterton ,IN,46304-2404,219-926-1476,Aaron Ban ,office@sjuchurch.org,http://sjuchurch.org/,N,Y,219-926-1631,41.60778,-87.05412,42,UccscraperItem
First United Church of Christ ,321 N Center St ,Plymouth ,IN,46563-1725,574-936-3010,,office@plymouthfirstucc.org,http://www.plymouthfirstucc.org,N,Y,574-936-5855,41.341935,-86.310814,43,UccscraperItem
First United Church of Christ ,407 N Main St ,Bourbon ,IN,46504-1523,574-342-6225,Susan M. Clark,,,N,Y,,41.2983,-86.1165,28.7,UccscraperItem
First United Church of Christ ,323 S Center St ,Bremen ,IN,46506-1630,574-546-2459,Thomas F. Dean ,asiefer@bremenucc.org,http://www.bremenucc.org,N,Y,574-546-2487,41.444734,-86.1466,35.8,UccscraperItem
Saint John United Church of Christ ,63900 State Rd 331 ,Woodland ,IN,46614-9010,574-633-4317,Joan Schaetzle ,,,N,Y,,41.572387,-86.176638,42.9,UccscraperItem
